idx,cod_origen,nombre_origen,nombre_destino,efecto,recomendacion,true_severity,true_type,true_mechanism
1,686782,XELODA 500 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,Brivudina,Aumento de la toxicidad de las fluoropirimidinas,Asociación contraindicada. Se recomienda suspender uno de los principios activos. Se ha de respetar un periodo mínimo de 4 semanas antes de iniciar el tratamiento con fluoropirimidinas. Interacción potencialmente fatal.,contraindicated,toxicity,pharmacokinetic
2,603544,FLUOROURACILO ACCORD 50 mg/ml SOLUCION INYECTABLE O PARA PERFUSION EFG,brivudina,Aumento de la toxicidad de las fluoropirimidinas.,Asociación contraindicada. Se recomienda suspender uno de los principios activos. Se ha de respetar un periodo mínimo de 4 semanas antes de iniciar el tratamiento con fluoropirimidinas. Interacción potencialmente fatal.,contraindicated,toxicity,pharmacokinetic
3,603498,"DIGOXINA TEOFARMA 0,25 mg COMPRIMIDOS",dronedarona,Aumento de las concentraciones de digoxina.,"Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento. En caso necesario, monitorizar el ECG y los niveles de digoxina.",moderate,toxicity,pharmacokinetic
4,606855,ERITROMICINA PANPHARMA 1 G POLVO PARA SOLUCION PARA PERFUSION EFG,dronedarona,Aumento de las concentraciones de dronedarona.,Asociación contraindicada. Se recomienda suspender uno de los principios activos.,contraindicated,toxicity,pharmacokinetic
5,606855,ERITROMICINA PANPHARMA 1 G POLVO PARA SOLUCION PARA PERFUSION EFG,teofilina,Aumento de las concentraciones de teofilina.,Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento.,moderate,toxicity,pharmacokinetic
6,600645,CLARITROMICINA ARAFARMA GROUP 500 mg COMPRIMIDOS RECUBIERTOS EFG,ticagrelor,Aumento de las concentraciones de ticagrelor.,Asociación contraindicada. Se recomienda suspender uno de los principios activos.,contraindicated,toxicity,pharmacokinetic
7,605891,TACROLIMUS CINFA 1 mg CAPSULAS DURAS EFG,telitromicina,Aumento de las concentraciones del inmunosupresor.,Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento.,moderate,toxicity,pharmacokinetic
8,600645,CLARITROMICINA ARAFARMA GROUP 500 mg COMPRIMIDOS RECUBIERTOS EFG,tacrólimus,Aumento de las concentraciones del inmunosupresor.,Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento. Se recomienda monitorizar la función renal y las concentraciones plasmáticas del inmunosupresor.,moderate,toxicity,pharmacokinetic
9,602848,VALDOXAN 25 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,fluvoxamina,Aumento de las concentraciones plasmáticas de agomelatina.,Asociación contraindicada. Se recomienda suspender uno de los principios activos.,contraindicated,toxicity,pharmacokinetic
10,644609,CANADIOL 100 mg CAPSULAS,aliskireno,Aumento de las concentraciones plasmáticas de aliskireno.,Asociación contraindicada. Se recomienda suspender uno de los principios activos.,contraindicated,toxicity,pharmacokinetic
11,644609,CANADIOL 100 mg CAPSULAS,felodipino,Aumento de las concentraciones plasmáticas de felodipina.,Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento.,moderate,toxicity,pharmacokinetic
12,603235,QUETIAPINA NORMON 100 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,eritromicina,Aumento de las concentraciones plasmáticas de quetiapina.,Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento.,moderate,toxicity,pharmacokinetic
13,606855,ERITROMICINA PANPHARMA 1 G POLVO PARA SOLUCION PARA PERFUSION EFG,rupatadina,Aumento de las concentraciones plasmáticas de rupatadina.,Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento. Se recomienda utilizar rupatidina con precaución.,moderate,toxicity,pharmacokinetic
14,639203,METOTREXATO MYLAN 25 mg/ml SOLUCION INYECTABLE Y PARA PERFUSION,acitretina,Aumento de las concentraciones plasmáticas metotrexato y del riesgo de hepatotoxicidad.,Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento.,moderate,hepatic,pharmacokinetic
15,606855,ERITROMICINA PANPHARMA 1 G POLVO PARA SOLUCION PARA PERFUSION EFG,triazolam,Aumento de los efectos adversos de triazolam,Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento.,moderate,cns,unknown
16,665975,ENTACAPONA TEVA 200 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,Inhibidores no selectivos de la monoaminooxidasa,Aumento de los efectos adversos vasopresores de los IMAO.,Asociación contraindicada. Se recomienda suspender uno de los principios activos.,contraindicated,cardiac,pharmacodynamic
17,616797,ALOPURINOL NORMON 300 mg COMPRIMIDOS EFG,azatioprina,Aumento del efecto y toxicidad de azatioprina. Riesgo de toxicidad hematológica.,"Asociación contraindicada. En caso que sea necesario, reducir la dosis de azatioprina a un cuarto de la dosis habitual.",contraindicated,toxicity,pharmacokinetic
18,616789,ALOPURINOL NORMON 100 mg COMPRIMIDOS EFG,mercaptopurina,Aumento del efecto y toxicidad de mercaptopurina. Riesgo de toxicidad hematológica.,"Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento.  En caso que sea necesario, reducir la dosis de mercaptopurina a un cuarto de la dosis habitual y evaluación hematológica.",moderate,toxicity,pharmacokinetic
19,600045,CITALOPRAM TEVA-RATIOPHARM 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,moxifloxacino,Aumento del riesgo de arritmias ventriculares.,Asociación contraindicada. Se recomienda suspender uno de los principios activos.,contraindicated,cardiac,pharmacodynamic
20,600645,CLARITROMICINA ARAFARMA GROUP 500 mg COMPRIMIDOS RECUBIERTOS EFG,ebastina,Aumento del riesgo de arritmias ventriculares.,"Asociación desaconsejada. Si es posible, suspender uno de los principios activos. Si no fuese posible, monitorizar el intervalo QT.",moderate,cardiac,pharmacodynamic
21,606855,ERITROMICINA PANPHARMA 1 G POLVO PARA SOLUCION PARA PERFUSION EFG,ivabradina,Aumento del riesgo de bradicardia grave.,Asociación contraindicada. Se recomienda suspender uno de los principios activos.,contraindicated,cardiac,pharmacodynamic
22,608000,MASDIL 60mg COMPRIMIDOS,AINEs,Aumento del riesgo de bradicardia grave.,"Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento. En caso necesario, monitorizar el ECG.",moderate,cardiac,pharmacodynamic
23,602562,CARVEDILOL NORMON 25 mg COMPRIMIDOS EFG,verapamilo,Aumento del riesgo de bradicardia intensa i descompensación de la insuficiencia cardíaca.,"Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento. En caso necesario, monitorizar estrechamente al paciente.",moderate,cardiac,pharmacodynamic
24,602561,"CARVEDILOL NORMON 6,25 mg COMPRIMIDOS EFG",diltiazem,Aumento del riesgo de bradicardia intensa i descompensación de la insuficiencia cardíaca.,"Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento. En caso necesario, utilizar sólo si está preservada la función miocardíaca y monitorizar el ECG.",moderate,cardiac,pharmacodynamic
25,605846,TRANGOREX 150 mg / 3 ml SOLUCION INYECTABLE,Antiarrítmicos de clase Ic,Aumento del riesgo de depresión miocardica.,"Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento. En caso de prescribir ambos principios activos, se recomienda monitorizar mediante ECG.",moderate,cardiac,pharmacodynamic
26,602561,"CARVEDILOL NORMON 6,25 mg COMPRIMIDOS EFG",ANTIARRÍTMICOS DE CLASE I Y III,Aumento del riesgo de depresión miocárdica.,Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento.,moderate,cardiac,pharmacodynamic
27,605892,TACROLIMUS CINFA 5 mg CAPSULAS DURAS EFG,"Dabigatrán,  etexilato de",Aumento del riesgo de hemorragia.,Asociación contraindicada. Se recomienda suspender uno de los principios activos.,contraindicated,hemorrhagic,pharmacodynamic
28,603082,XARELTO 10 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,itraconazol,Aumento del riesgo de hemorragia.,Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento.,moderate,hemorrhagic,pharmacodynamic
29,601104,INYESPRIN 900 MG POLVO PARA SOLUCION INYECTABLE Y PARA PERFUSION,Antagonistas de la vitamina K,Aumento del riesgo de hemorragias (especialmente gastrointestinales).,Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento. Se recomienda añadir gastroprotector y controlar estrechamente INR.,moderate,hemorrhagic,pharmacodynamic
30,601799,IBUPROFENO LLORENS 600 mg COMPRIMIDOS RECUBIERTOS EFG,"Dabigatrán,  etexilato de",Aumento del riesgo de hemorragias (especialmente gastrointestinales).,Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento. Se recomienda añadir gastroprotector y controlar signos de hemorragia.,moderate,hemorrhagic,pharmacodynamic
31,600200,ELECOR 25 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,Inmunosupresores,Aumento del riesgo de hiperpotasemia e insuficiencia renal.,Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento. Se recomienda monitorizar los niveles de potasio y la función renal.,moderate,metabolic,pharmacodynamic
32,600200,ELECOR 25 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,"potasio, cloruro de ,combinaciones con",Aumento del riesgo de hiperpotasemia.,Asociación contraindicada. Se recomienda suspender uno de los principios activos.,contraindicated,metabolic,pharmacodynamic
33,600581,"ENALAPRIL/HIDROCLOROTIAZIDA VIR 20/12,5 mg COMPRIMIDOS EFG",combinaciones,Aumento del riesgo de hiperpotasemia.,"Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento. En caso necesario, monitorizar los niveles de potasio.",moderate,metabolic,pharmacodynamic
34,605890,"TACROLIMUS CINFA 0,5 mg CAPSULAS DURAS EFG",combinaciones,Aumento del riesgo de hiperpotasemia.,Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento. Se recomienda monitorizar los niveles de potasio y la función renal.,moderate,metabolic,pharmacodynamic
35,600252,PARAPRES 32 mg COMPRIMIDOS,DIURÉTICOS Y AGENTES AHORRADORES DE  POTASIO EN COMBINACIÓN,Aumento del riesgo de hiperpotasemia.,Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento. Se recomienda monitorizar los niveles de potasio.,moderate,metabolic,pharmacodynamic
36,602561,"CARVEDILOL NORMON 6,25 mg COMPRIMIDOS EFG",clonidina,"Aumento del riesgo de hipertensión de rebote cuando se suspende la clonidina, empeorada por la presencia de un beta bloqueante.",Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento. Interrumpir el tratamiento con el beta bloqueante algunos días antes de iniciar la suspensión gradual de la clonidina.,moderate,cardiac,pharmacodynamic
37,620427,DOSIL 100 MG CÁPSULAS DURAS,Retinoides para el tratamiento del  acné,Aumento del riesgo de hipertensión intracranial.,Asociación contraindicada. Se recomienda suspender uno de los principios activos.,contraindicated,cns,pharmacodynamic
38,650327,IMIGRAN NEO 50 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,Inhibidores no selectivos de la monoaminooxidasa,"Aumento del riesgo de hipertensión, vasoconstricción coronaria.",Asociación contraindicada. Se recomienda suspender uno de los principios activos.,contraindicated,cardiac,pharmacodynamic
39,651152,AZILECT 1 MG COMPRIMIDOS,eletriptán,"Aumento del riesgo de hipertensión, vasoconstricción coronaria.",Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento.,moderate,cardiac,pharmacodynamic
40,653728,ACNEMIN 10 mg CAPSULAS BLANDAS,Vitamina A sola,Aumento del riesgo de hipervitaminosis.,Asociación contraindicada. Se recomienda suspender uno de los principios activos.,contraindicated,toxicity,pharmacodynamic
41,641084,TRIALMIN 600 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,Neurolépticos que producen Torsades de Pointes,Aumento del riesgo de hipoglucemia grave.,Asociación contraindicada. Se recomienda suspender uno de los principios activos.,contraindicated,metabolic,pharmacodynamic
42,600543,PRAVASTATINA NORMON 40 mg COMPRIMIDOS EFG,Fibratos,Aumento del riesgo de miopatía y rabdomiolisis.,"Asociación contraindicada con rosavastatina 40mg.
Asociación desaconsejada en el resto de los casos.",contraindicated,muscular,pharmacodynamic
43,600645,CLARITROMICINA ARAFARMA GROUP 500 mg COMPRIMIDOS RECUBIERTOS EFG,"AGENTES MODIFICADORES DE LOS LÍPIDOS, COMBINACIONES CON",Aumento del riesgo de miopatía y rabdomiolisis.,Asociación contraindicada. Se recomienda suspender uno de los principios activos.,contraindicated,muscular,pharmacodynamic
44,606119,EZETROL 10 mg COMPRIMIDOS,ciclosporina,Aumento del riesgo de miopatía y rabdomiolisis.,Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento.,moderate,muscular,pharmacodynamic
45,653817,SANDIMMUN NEORAL 50 mg CAPSULAS BLANDAS,colchicina,Aumento del riesgo de nefrotoxicidad y miotoxicidad.,"Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento. 
En caso de insuficiencia renal o hepática, evitar el uso. En otros casos reducir la dosis de colchicina.",moderate,renal,pharmacodynamic
46,644609,CANADIOL 100 mg CAPSULAS,Alcaloides de la vinca y análogos,Aumento del riesgo de neurotoxicidad.,Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento.,moderate,cns,pharmacodynamic
47,644609,CANADIOL 100 mg CAPSULAS,triazolam,Aumento del riesgo de sedación.,Asociación contraindicada. Se recomienda suspender uno de los principios activos.,contraindicated,cns,pharmacodynamic
48,600608,FLUCONAZOL ALTAN 2 MG/ML SOLUCION PARA PERFUSION EFG,midazolam,Aumento del riesgo de sedación.,Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento.,moderate,cns,pharmacodynamic
49,650104,PROPALCOF 15 mg/ml GOTAS ORALES EN SOLUCION,Inhibidores no selectivos de la monoaminooxidasa,Aumento del riesgo de síndrome serotonérgico y otras reacciones adversas graves.,Asociación contraindicada. Se recomienda suspender uno de los principios activos.,contraindicated,cns,pharmacodynamic
50,600024,CITALVIR 10 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,Inhibidores no selectivos de la monoaminooxidasa,Aumento del riesgo de síndrome serotonérgico.,Asociación contraindicada. Se recomienda suspender uno de los principios activos.,contraindicated,cns,pharmacodynamic
51,650368,ZYNTABAC 150 mg COMPRIMIDOS DE LIBERACION PROLONGADA,Inhibidores de la monoaminooxidasa B,Aumento del riesgo de síndrome serotonérgico.,Asociación contraindicada. Se recomienda suspender uno de los principios activos. Dejar 24 horas entre la suspensión de los IMAOs reversibles y el bupropión.,contraindicated,cns,pharmacodynamic
