query,database,size_pct,median_ms,p95_ms,result
count_by_severity,MongoDB,25,74.93,122.33,3
count_by_severity,Neo4j,25,49.27,50.79,3
count_by_severity,MongoDB,50,123.14,133.23,3
count_by_severity,Neo4j,50,61.3,65.67,3
count_by_severity,MongoDB,75,204.09,257.12,3
count_by_severity,Neo4j,75,70.78,76.83,3
count_by_severity,MongoDB,100,260.06,307.8,3
count_by_severity,Neo4j,100,80.87,89.79,3
count_contraindicated,MongoDB,25,68.17,100.25,5700
count_contraindicated,Neo4j,25,48.67,50.89,5692
count_contraindicated,MongoDB,50,67.08,78.49,13190
count_contraindicated,Neo4j,50,60.25,67.25,13178
count_contraindicated,MongoDB,75,66.53,75.17,17148
count_contraindicated,Neo4j,75,69.01,71.89,17132
count_contraindicated,MongoDB,100,70.04,84.91,22379
count_contraindicated,Neo4j,100,79.66,123.86,22363
count_cardiac,MongoDB,25,61.11,65.08,5256
count_cardiac,Neo4j,25,49.16,52.26,5256
count_cardiac,MongoDB,50,62.26,83.64,11959
count_cardiac,Neo4j,50,60.1,66.8,11959
count_cardiac,MongoDB,75,61.15,62.45,14723
count_cardiac,Neo4j,75,68.67,73.63,14723
count_cardiac,MongoDB,100,60.98,65.21,18245
count_cardiac,Neo4j,100,77.1,79.94,18245
top_interacting,MongoDB,25,61.67,84.89,10
top_interacting,Neo4j,25,47.08,61.73,10
top_interacting,MongoDB,50,94.12,118.3,10
top_interacting,Neo4j,50,54.2,57.24,10
top_interacting,MongoDB,75,118.92,204.53,10
top_interacting,Neo4j,75,61.18,77.94,10
top_interacting,MongoDB,100,204.8,253.58,10
top_interacting,Neo4j,100,67.91,70.59,10
